Location,,"W
0
2
t
h
g
Li
e
b
u
T
D
E
L",,,"2
x
W
0
2
t
h
g
Li
e
b
u
T
D
E
L",,,"2')
x
2'
(
W
6
3
-D
E
L",,,"e
b
o
C
W
2
1
D
E
L",,"W
5
1
D
E
L",,"W)
9
(
D
E
L",,"W)
9
(
b
ul
B
D
E
L",,"W)
8
1
(
b
ul
B
D
E
L",,"W
)
3
5/
(
D
E
L",,"W
0
5
D
E
L",,,"W)
0
1
1
0/
9
(
D
E
L",,,"w)
8
2
(
5
T",,,")
2
X
W
8
2
(
5
T",,")
4
X
W
4
1
(
5
T","w)
8
1
(
8
T",,"w )
6
3
(
8
T",,,")
2
X
W
6
3
(
8
T",,,")
4
X
W
8
1
(
8
T",,,"W)
1
1
(
L
F
C",,,")
2
x
W
2
1
(
L
F
C",,,"W)
8
1
(
L
F
C",,,")
2
x
W
8
1
(
L
F
C",,,"2')
x
2'
(
)
3
x
W
6
3
(
L
F
C",,,"3
X
1
W)
4
5
(
L
F
C",,,"W)
0
7
(
n
a
F",,,"W)
0
5
1
(
n
a
F
t
x
E",,,"W)
0
8
(
r
e
t
u
p
m
o
C",,,"W)
0
7
(
r
e
nt
ri
P",,,"C
A
t
e
s
s
a
C",,,"S)
(
C
A",,,"S)
*(
2
C
A",,"S)
*(
3
C
A",,"S)
*(
4
C
A",,"W)
(
C
A","W)
*(
2
C
A",,"W)
*(
3
C
A",,"W)
*(
5
C
A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
AT-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,
Toilet,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AT-23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
AT-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
AT-25,,,,,,,8,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,1,,,,,
